Instância,Gulosa Min,Gulosa Máx,Gulosa Desvio,Gulosa Tempo (s),Aleatória Min,Aleatória Máx,Aleatória Desvio,Aleatória Tempo (s),SA Min,SA Máx,SA Desvio,SA Tempo (s),ABC Min,ABC Máx,ABC Desvio,ABC Tempo (s)
CCO1,456,456,0,0,456,456,0,0,456,456,0,0.0144,456,456,0,0.0083
CCO2,752,752,0,0,752,752,0,0,752,752,0,0.0299,752,752,0,0.0344
CCO3,652,652,0,0,361,652,97.9325,0,652,652,0,0.0010,652,652,0,0.0125
CCO4,331,331,0,0,256,331,33.4302,0,331,331,0,0.0007,331,331,0,0.0084
CCO5,502,502,0,0,222,502,90.9198,0,502,502,0,0.0008,502,502,0,0.0091
SIN1,497,497,0,0,366,541,58.9219,0,478,541,23.2647,0.0091,521,541,5.9011,0.0178
SIN2,393,393,0,0,276,393,33.3110,0,392,393,0.1826,0.0017,392,393,0.3457,0.0116
SIN3,426,426,0,0,356,426,18.2051,0,426,426,0,0.0049,416,426,1.8257,0.0177
SIN4,393,393,0,0,276,393,35.2502,0,393,393,0,0.0017,392,393,0.1826,0.0112
SIN5,561,561,0,0,451,616,42.2237,0,471,616,46.0088,0.0130,596,616,6.6576,0.0289
